3514,075W10F4,"--POINTER 5 PTS. AIRE ACONDICIONADO, ESTANDAR,2007",,,,
4884,071K22R3,"--BORA SPORT TIPTRONIC, 2007",,,,
7325,075W10F4,"--POINTER 5 PTS. AIRE ACONDICIONADO, ESTANDAR,2007",,,,
11826,077HH142,"--EUROVAN CARGA, DIESEL,  2007",,,,
17671,077M61B9,"--SHARAN COMFORTLINE, AUTOMATICA, 2007",,,,
17671,077M61B9,"--SHARAN COMFORTLINE, AUTOMATICA, 2007",,,,
17671,077M61B9,"--SHARAN COMFORTLINE, AUTOMATICA, 2007",,,,
17671,077M61B9,"--SHARAN COMFORTLINE, AUTOMATICA, 2007",,,,
17671,077M61B9,"--SHARAN COMFORTLINE, AUTOMATICA, 2007",,,,
20107,075W10F4,"--POINTER 2 PTS. ESTANDAR, 2007",,,,
20107,075W10F4,"--POINTER 2 PTS. ESTANDAR, 2007",,,,
20107,075W10F4,"--POINTER 2 PTS. ESTANDAR, 2007",,,,
24696,03VAN,--VAN,,,,
26574,075W10F4,"--POINTER 5 PTAS, SIN AIRE ACOND.  ESTANDAR, 2007",,,,
29357,079M24H3,"--JETTA TRENDLINE, AUTOMATICO, 2007",,,,
29879,079A24K4,"--POLO COMFORTLINE, ESTANDAR, 2007",,,,
30073,073C25K6,"--PASSAT  2,0 TURBO, TIPTRONIC, 2007",,,,
30237,071K2AR3,"--BORA STYLE ,  TIPTRONIC, 2007",,,,
30481,079M24H3,"--JETTA TRENDLINE, AUTOMATICO, 2007",,,,
30488,089M23JA,"--JETTA EUROPA AUTOMATICO. AIRE ACONDICIONADO,2008",,,,
31445,071K22R3,"--BORA SPORT TIPTRONIC, 2007",,,,
31445,071K22R3,"--BORA SPORT TIPTRONIC, 2007",,,,
31445,071K22R3,"--BORA SPORT TIPTRONIC, 2007",,,,
31547,079M24H4,"--JETTA TRENDLINE, ESTANDAR,2007",,,,
31885,02POINTER1,"--POINTER CITY 2 PTAS",,,,
32476,079A24K4,"--POLO COMFORTLINE, ESTANDAR, 2007",,,,
32599,075Z12F4,"--LUPO  TRENDLINE 2 PTAS.  AIRE ACOND. 2007",,,,
32764,087L66B3,"--TOUAREG V8, AUTOMATICA (TIPTRONIC), MODELO 2008",,,,
33324,071K13V3,"--GOLF GTI ,  6 VELOCIDADES DSG, 2007",,,,
33327,"01 MONDEO","--FORD MONDEO AUT A/A",,,,
33456,075Z14F4,"--CROSSFOX, ESTANDAR,2007",,,,
33456,075Z14F4,"--CROSSFOX, ESTANDAR,2007",,,,
33462,075W10F4,"--POINTER 5 PTS. AIRE ACONDICIONADO, ESTANDAR,2007",,,,
33462,075W10F4,"--POINTER 5 PTS. AIRE ACONDICIONADO, ESTANDAR,2007",,,,
33463,075Z14F4,"--CROSSFOX, ESTANDAR,2007",,,,
33464,089M24JA,"--JETTA TRENDLINE,AUTOMATICO (TIPTRONIC), 2008",,,,
33475,087L65E3,"--TOUAREG V6 PREMIUM , TIPTRONIC, 2008",,,,
33497,085W11F4,"--POINTER TRENDLINE 5 PTAS. ESTANDAR, 2008",,,,
33499,071K2AR3,"--BORA STYLE ACTIVE ,  TIPTRONIC, 2007",,,,
33513,075W10F4,"--POINTER 5 PTAS, SIN AIRE ACOND.  ESTANDAR, 2007",,,,
33513,075W10F4,"--POINTER 5 PTAS, SIN AIRE ACOND.  ESTANDAR, 2007",,,,
33523,075W10F4,"--POINTER 5 PTAS, SIN AIRE ACOND.  ESTANDAR, 2007",,,,
33525,085W12F4,"--POINTER GT, ESTANDAR, MODELO 2008",,,,
33546,089M24J4,"--JETTA TRENDLINE, ESTANDAR,2008",,,,
33549,085W11F4,"--POINTER TRENDLINE 5 PTAS. ESTANDAR, 2008",,,,
